ID,Title,Genre,Director,Year,Runtime_Minutes,Rating,Votes,Revenue_Millions
1,Guardians of the Galaxy,Action,James Gunn,2014,121,8.1,757074,333.13
2,Prometheus,Adventure,Ridley Scott,2012,124,7.0,485820,126.46
3,Split,Horror,M. Night Shyamalan,2016,117,7.3,157606,138.12
4,Sing,Animation,Christophe Lourdelet,2016,108,7.2,60545,270.32
5,Suicide Squad,Action,David Ayer,2016,123,6.2,393727,325.02
6,The Great Wall,Action,Yimou Zhang,2016,103,6.1,56036,45.13
7,La La Land,Comedy,Damien Chazelle,2016,128,8.3,258682,151.06
8,Mindhorn,Comedy,Sean Foley,2016,89,6.4,2490,
10,Passengers,Adventure,Morten Tyldum,2016,116,7.0,192177,100.01
11,Fantastic Beasts and Where to Find Them,Adventure,David Yates,2016,133,7.5,232072,234.02
12,Hidden Figures,Biography,Theodore Melfi,2016,127,7.8,93103,169.27
13,Rogue One,Action,Gareth Edwards,2016,133,7.9,323118,532.17
14,Moana,Animation,Ron Clements,2016,107,7.7,118151,248.75
16,The Secret Life of Pets,Animation,Chris Renaud,2016,87,6.6,120259,368.31
17,Hacksaw Ridge,Biography,Mel Gibson,2016,139,8.2,211760,67.12
18,Jason Bourne,Action,Paul Greengrass,2016,123,6.7,150823,162.16
19,Lion,Biography,Garth Davis,2016,118,8.1,102061,51.69
20,Arrival,Drama,Denis Villeneuve,2016,116,8.0,340798,100.50
22,Manchester by the Sea,Drama,Kenneth Lonergan,2016,137,7.9,134213,47.70
23,Hounds of Love,Crime,Ben Young,2016,108,6.7,1115,
24,Trolls,Animation,Walt Dohrn,2016,92,6.5,38552,153.69
25,Independence Day: Resurgence,Action,Roland Emmerich,2016,120,5.3,127553,103.14
26,Paris pieds nus,Comedy,Dominique Abel,2016,83,6.8,222,
29,Bad Moms,Comedy,Jon Lucas,2016,100,6.2,66540,113.08
30,Assassin's Creed,Action,Justin Kurzel,2016,115,5.9,112813,54.65
31,Why Him?,Comedy,John Hamburg,2016,111,6.3,48123,60.31
33,X-Men: Apocalypse,Action,Bryan Singer,2016,144,7.1,275510,155.33
34,Deadpool,Action,Tim Miller,2016,108,8.0,627797,363.02
35,Resident Evil: The Final Chapter,Action,Paul W.S. Anderson,2016,107,5.6,46165,26.84
36,Captain America: Civil War,Action,Anthony Russo,2016,147,7.9,411656,408.08
