video_id,DAY(trending_date)
zzVFyVNgtsc,4
zzVFyVNgtsc,5
ZzStPviPY90,13
ZzStPviPY90,16
ZzStPviPY90,17
ZzStPviPY90,18
ZzStPviPY90,19
ZzStPviPY90,20
ZzStPviPY90,21
ZzStPviPY90,27
ZzStPviPY90,28
ZzStPviPY90,29
ZzStPviPY90,30
ZzStPviPY90,31
ZZoF-ZHERTY,15
zZb4egM02RI,7
zZ9cPmJ_v4w,25
zZ9cPmJ_v4w,26
zZ9cPmJ_v4w,27
zZ9cPmJ_v4w,28
zZ9cPmJ_v4w,29
ZZ6ZhLQJ9tk,14
ZZ6ZhLQJ9tk,15
zz2vrPorALM,23
zY8BXo688Gc,1
ZY1BFv8qEeM,7
zy_df28N7WE,27
zXXxZmwpPnc,22
zxwfDlhJIpw,2
zxwfDlhJIpw,3
zxwfDlhJIpw,4
zxwfDlhJIpw,5
zxwfDlhJIpw,6
zxwfDlhJIpw,7
zxwfDlhJIpw,8
zxwfDlhJIpw,9
zxwfDlhJIpw,10
zxwfDlhJIpw,11
zxwfDlhJIpw,12
zxwfDlhJIpw,13
zxwfDlhJIpw,14
zxwfDlhJIpw,16
zxwfDlhJIpw,17
zxwfDlhJIpw,18
zxwfDlhJIpw,19
zxwfDlhJIpw,20
zxwfDlhJIpw,21
zxwfDlhJIpw,22
zxwfDlhJIpw,23
zxwfDlhJIpw,24
zxwfDlhJIpw,25
zxwfDlhJIpw,26
zxwfDlhJIpw,27
zxwfDlhJIpw,28
zxwfDlhJIpw,29
zxwfDlhJIpw,30
zxwfDlhJIpw,31
zXQkZFTXT0I,18
zXQkZFTXT0I,19
zXQkZFTXT0I,20
zX9fw8z1lr8,30
zX9fw8z1lr8,1
zWxZmLxBd2k,18
zWwcUXx5jOU,8
ZWvYYkbgj4k,17
ZWrkOm98VWY,13
Zwmri1KqBLA,25
ZWHCG4Q-kL4,4
zWenJ272G1A,6
ZweA4WKNBTQ,4
Zw3tdbnK0d0,25
ZVRtKPbZoww,14
ZVM_V18Tz1s,4
ZVM_V18Tz1s,5
ZvKS6Gxx5sE,22
zvFQWPEuNJA,14
zvFQWPEuNJA,15
zvFQWPEuNJA,16
zVEnDaoVZr4,21
Zv7mc3TygO4,5
Zv7mc3TygO4,6
Zv7mc3TygO4,7
Zv7mc3TygO4,8
Zv7mc3TygO4,9
Zv7mc3TygO4,10
Zv7mc3TygO4,11
Zv7mc3TygO4,12
Zv7mc3TygO4,13
Zv7mc3TygO4,14
Zv7mc3TygO4,16
Zv7mc3TygO4,17
Zv7mc3TygO4,18
Zv7mc3TygO4,19
Zv7mc3TygO4,20
Zv7mc3TygO4,22
Zv7mc3TygO4,23
Zv7mc3TygO4,24
Zv7mc3TygO4,25
Zv7mc3TygO4,26
Zv7mc3TygO4,27
ZUV53Nn3PhA,30
ZUV53Nn3PhA,1
ZUV53Nn3PhA,2
ZUV53Nn3PhA,3
ZUV53Nn3PhA,4
ZUV53Nn3PhA,5
ZUV53Nn3PhA,6
ZUV53Nn3PhA,7
ZUV53Nn3PhA,8
z-uUOFG59XA,15
z-uUOFG59XA,16
ZUSPD9zOyJs,2
ZUSPD9zOyJs,3
ZUSPD9zOyJs,4
ZUSPD9zOyJs,5
ZUSPD9zOyJs,6
ZUSPD9zOyJs,7
ZUSPD9zOyJs,8
ZUSPD9zOyJs,9
ZUSPD9zOyJs,10
ZUSPD9zOyJs,11
ZUSPD9zOyJs,12
ZUSPD9zOyJs,13
ZUSPD9zOyJs,14
ZUSPD9zOyJs,16
ZUSPD9zOyJs,17
ZUSPD9zOyJs,18
ZUSPD9zOyJs,19
ZUSPD9zOyJs,20
ZUs4JxQJAv0,5
ZUs4JxQJAv0,6
ZUmof5JNCVI,2
ZuiutGVyN_k,7
zuGhEnkK3W4,29
zuGhEnkK3W4,30
zuFbluehZas,15
zu9qSzGLU_Q,6
Zu8_7P0DJg0,21
Zu8_7P0DJg0,22
Zu8_7P0DJg0,23
ZTvWnLhUdD0,20
ZTQi1Wxz-sU,27
ZTPzw_-XqgY,2
ZTPzw_-XqgY,3
zTJsOjFbkuY,16
ZTFTngOG2bg,21
ZTFTngOG2bg,22
ZTFTngOG2bg,23
Ztel4Tuq_Gc,16
Ztel4Tuq_Gc,17
Ztel4Tuq_Gc,18
Ztel4Tuq_Gc,19
Ztel4Tuq_Gc,20
zTB-wzW54uE,24
zTB-wzW54uE,25
