platform,viewer_id,received_date,event_name
ios,KIAE8730032E1E464393487AEF49FF1D2C,2016-11-07,watched-ad
ios,KI4EBDC980A06F415A8CB4FED5E57C06C2,2016-11-07,watched-ad
ios,KI6CAE9F24F3B64919A911E541642EC2B7,2016-11-07,watched-ad
ios,KI4EBDC980A06F415A8CB4FED5E57C06C2,2016-11-07,watched-ad
ios,KI8E170485E93344AFA4FC6677AEF23587,2016-11-07,watched-ad
ios,KIC8636AC6DAD3449A8284751FAB7A46AB,2016-11-07,watched-ad
ios,KI6CAE9F24F3B64919A911E541642EC2B7,2016-11-07,watched-ad
ios,KI168BC2AD3BFC4F629FBABA0016C4F745,2016-11-07,watched-ad
ios,KI6CAE9F24F3B64919A911E541642EC2B7,2016-11-07,watched-ad
ios,KIC1EE22A3401D4F368B1721E1FFD784C3,2016-11-07,watched-ad
ios,KI186227DBEE3E4336AB9463E10EE181A6,2016-11-07,watched-ad
ios,KI50D62B67111D46898B08B9186E55F2A0,2016-11-07,watched-ad
ios,KI91E08E1037694C7587A3AFD3E09E217B,2016-11-07,watched-ad
ios,KI91E08E1037694C7587A3AFD3E09E217B,2016-11-07,watched-ad
ios,KI4EBDC980A06F415A8CB4FED5E57C06C2,2016-11-07,watched-ad
android,KAf15b56d542344da391f26b54b14694c5,2016-11-07,logged-in
ios,KIBAD3830B1DF443B9B066BAFDA5C7BB1F,2016-11-07,watched-ad
android,KAc9af337f94db4d3287a209a05c595f38,2016-11-07,watched-video
ios,KIE64B84CD466E46AFB737D2E59F7B2DF5,2016-11-07,watched-ad
android,KA89c0f42dd7f742748b49c7fb5f936b77,2016-11-08,logged-in
ios,KI485582DB6CD345C789B0A9FE0C911ACC,2016-11-08,watched-ad
ios,KIFACF4CF94C584115B5B0B36A38C93E61,2016-11-07,watched-ad
android,KAe3184962baf14d05a9e175b1dd388225,2016-11-07,watched-video
ios,KI4EBDC980A06F415A8CB4FED5E57C06C2,2016-11-07,watched-ad
ios,KID6C2EACAF1B0409497E6AC70E4381415,2016-11-07,watched-ad
ios,KI0D925F08319C46678CD10B8520DA6A3C,2016-11-08,watched-ad
android,KA2e980894ef564612b345ab879b06a4ca,2016-11-08,visited-show
ios,KI6CAE9F24F3B64919A911E541642EC2B7,2016-11-07,watched-ad
ios,KI4EBDC980A06F415A8CB4FED5E57C06C2,2016-11-07,watched-ad
android,KA9fc7ea8182434013aa32b2463e41ba3f,2016-11-08,watched-ad
ios,KIAB0E8FEB1F6446C2861A1A5B0084105B,2016-11-08,watched-ad
android,KA952e0d488be642ce9c2ca2de39450875,2016-11-08,watched-ad
