SKU ID,TranslatedTitle,brand,Is UL,ProductURL,Seller-Name,packtype,Units,Volume (ml),quantity,API Flag,CBP,CBP_Brand,Pack Size,User,Format,Benefit,API Tier,Grammage Tier,Offer Price,Rating,Number of Reviews,Hygiene benefit,Refill,Value,Discount %,Purchase Date
677408,DelightÃƒÂ‚ Aqua Lux Body Wash 250ml,lux,1,https://www.jd.id/product/lux-body-wash-aqua-delight-250ml_677408/10012587.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,250,2,1,Fragrance,Fragrance|lux,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,19,4,75,,,38,9%,24/6/2019
677410,Lux Body Wash 250ml Magical Spell,lux,1,https://www.jd.id/product/lux-body-wash-magical-spell-250ml_677410/10012589.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,250,10,1,Fragrance,Fragrance|lux,Single,NA,Shower Gel,NA,Tire 2,200 - 250 ML,19,3.5,179,,,190,13%,2/2/2018
677412,Lux Body Wash 250ml Velvet Jasmine,lux,1,https://www.jd.id/product/lux-body-wash-velvet-jasmine-250ml_677412/10012591.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,250,2,1,Fragrance,Fragrance|lux,Single,NA,Shower Gel,NA,Tire 2,200 - 250 ML,19,5,69,,,38,6%,13/11/2019
677440,Lux Body Wash Refill 450ml Velvet Jasmine,lux,1,https://www.jd.id/product/lux-body-wash-velvet-jasmine-refill-450ml_677440/10012619.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,8,1,Fragrance,Fragrance|lux,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,24,2.8,1030,,Refill,192,9%,23/10/2018
677443,Lux Body Wash Refill 450ml White Camellia,lux,1,https://www.jd.id/product/lux-body-wash-camellia-white-refill-450ml_677443/10012622.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,3,1,Whitening / Colour Management,Whitening / Colour Management|lux,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,24.5,5,371,,Refill,73.5,8%,12/11/2019
677446,Lux Body Wash White Camellia Bottle 560Ml,lux,1,https://www.jd.id/product/lux-body-wash-camellia-white-bottle-560ml_677446/10012625.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,560,5,1,Whitening / Colour Management,Whitening / Colour Management|lux,Single,NA,Shower Gel,NA,Tire 2,500 - 1000 ML,40.5,4,628,,,202.5,10%,3/8/2019
677447,Lux Body Wash Refill 450ml Magical Spell,lux,1,https://www.jd.id/product/lux-body-wash-magical-spell-refill-450ml_677447/10012626.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,10,1,Fragrance,Fragrance|lux,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,24,5,2128,,Refill,240,13%,20/4/2019
677448,Lux Body Wash Refill 450ml Soft Touch,lux,1,https://www.jd.id/product/lux-body-wash-soft-touch-refill-450ml_677448/10012627.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,5,1,Fragrance,Fragrance|lux,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,18.5,5,1453,,Refill,92.5,13%,9/6/2019
677451,Lux Soft Touch Body Wash 580Ml,lux,1,https://www.jd.id/product/lux-body-wash-soft-touch-580ml_677451/10012630.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,580,4,1,Fragrance,Fragrance|lux,Single,NA,Shower Gel,NA,Tire 2,500 - 1000 ML,33.5,3.8,2564,,,134,12%,10/11/2019
677454,Lux Body Wash Refill Lily Fresh 450ml,lux,1,https://www.jd.id/product/lux-body-wash-lily-fresh-refill-450ml_677454/10012633.html?utm_source=shopalyst&utm_medium=affiliate,JD.id,Single,Milliliter,450,2,1,Fragrance,Fragrance|lux,Single,NA,Shower Gel,NA,Tire 2,300 - 500 ML,24,3.9,1079,,Refill,48,10%,10/7/2019
